id,year,type,subject,title,description,answer
T0901,109,單題,現代詩文閱讀單題,根據這張圖表，下列何者的症狀最可能是中暑？,熱衰竭: 1.會流汗，所以皮膚比較潮濕 2.體溫 大多是正常 3.虛弱且頭暈、頭痛 中暑: 1.感覺身體很熱，皮膚乾燥發紅 2.體溫升高超過40.5度C 3.頭暈、頭痛，嚴重可致昏迷 4.快而強的脈搏,B
T0902,109,單題,現代詩文閱讀單題,下列何者最符合這句話所強調的教育理念？,"「寧可讓學得快的人等，也不能讓不會的人繼續不
會。」",D
T0903,109,單題,現代詩文閱讀單題,根據文意，畫線處填入下列何者最恰當？,"人生何嘗不像一場競賽。跑得慢的人有些會
怨天尤人，一路上窩囊委屈；有的卻抱著龜兔賽
跑的精神，努力不懈直到終點。而那些跑得快的
也不見得永遠領先，有的後繼無力被人超前，有
的半路摔倒一蹶不起，選擇放棄。因此，
_______________________ 。",D
T0904,109,單題,現代詩文閱讀單題,根據這段文字，下列敘述何者最不恰當？,"｢野生動物隨著環境會發展出新的生活方式。城市
中的灰色松鼠比鄉下的較快對威脅產生反應，牠們
不吱吱叫驅趕敵人，而是垂下尾巴來警示敵人。」",A
T0905,109,單題,現代詩文閱讀單題,關於這則貼文與留言，下列解讀何者最恰當？,貼文:小畢:「如果別人朝你扔石頭，就不要扔回去，留著做你建高樓的雞石。」 留言: 阿文:「如果他能丟你一堆夠你建高樓的石頭，我看你也被他丟死了。」 凱哥:「高樓和墓地的建築材料，其實是一樣的。」 小安:「與其以牙還牙，不如隱忍奮進。」,D
T0906,109,單題,詞語,下列文句，何者詞語使用最恰當？,X,B
T0907,109,單題,現代詩文閱讀單題,小秦到朋友大蘇家作客，爸爸老蘇和弟弟小蘇同席，下列圖示座次，何者最符合這段文字的敘述？,「宋朝根據房門的位置來確定座次貴賤。面向房門的座位最尊貴，若無長輩就讓它空著。長輩左手的那邊是主人位，右手邊是客人位，長輩對面是副陪的位置，坐在那裡方便傳菜斟酒。」,B
T0908,109,單題,現代詩文閱讀單題,就創作而言，這段文字的觀點，與下列何者最接近？,「和你的詩作凍結在一起或因某幾首詩而大獲激賞是痛苦的事。真正的生命存在於寫作當中，而非經年累月一再朗讀同樣的幾首詩。我們不斷的需要有新的洞察和觀點，我們的生活也非一成不變。你無法在幾首詩裡便挖掘出永恆不滅的真理。」,B
T0909,109,單題,標點符號,這段文字空格處的標點符號，依序填入下列何者最恰當？,"「朋友曾問過我一個問題□失去視力和失去聽力，害怕哪一項？我思考許久，最後坦承：什麼也不想失去。眼睛的世界那樣可喜，聽見的聲音卻更
像一種心靈的共振□閉上眼睛也能讓情節自己呼應。我不能放棄兩者□也不願被兩者放棄。」",C
T0910,109,單題,字義,句中「得」字的字義與下列何者相同？,「此事關係重大，一定要在時限內完成，不得有誤。」,A
T0911,109,單題,古典詩文閱讀單題,關於這首詩的分析，下列敘述何者正確？,「杲杲1冬日出，照我屋南隅。負暄閉目坐，和氣生肌膚。初似飲醇醪2，又如蟄者蘇。外融百骸暢，中適一念無。曠然忘所在，心與虛空俱。」1.杲杲:日光明亮。杲，音ㄍㄠˇ 2.醇醪 : 美酒。醪，音ㄌㄠˊ,D
