id,question_id,content
A1201,T1201,(Ｄ)由「本文旨在說明臺灣國民小學至大學學生閱 讀興趣與閱讀素養的關係」可知「『閱讀興趣』、 『閱讀素養』的關係」為本文核心。
A1202,T1202,(Ｄ)「與其……」為選擇句開端，下一句應改為「 不如……」，構成「與其……不如……」的選擇句 型。
A1203,T1203,分號使用在並列的句子間，將句子分組。本文中的 「有些……有些……」，句型相似，內容所指則為 第一句所述「生命旅路中錯身而過」的例子，因此 使用分號隔開。甲以下的文字為「生命旅路中錯身 而過」的例子，應採用冒號或句號，乙與丁的句意 皆未完結，應採用逗號，故選(Ｃ)。
A1204,T1204,(Ａ)「豈非」應改為「怎會」(Ｂ)「並非」應改為 「若非」(Ｄ)「若非」應改為「並非」。
A1205,T1205,(Ａ)ㄑㄧˋ／ㄧˋ(Ｂ)ㄑㄧㄢ／ㄎㄢˇ(Ｃ)ㄌㄧㄠˊ／ㄇ ㄧㄡˋ(Ｄ)ㄓㄨˇ。
A1206,T1206,(Ｃ)由「看起來像張口見齒」的樣子可知為「畫成 其物，隨體詰詘」的象形字；由「用『止』表示聲 音」的樣子可知為「以事為名，取譬相成」的形聲 字。
A1207,T1207,(Ａ)最後一句「他們語帶不屑地認為」中「他們」 ，代稱者為前一句的「建築純粹主義者」，前一句 提及「建築純粹主義者」嘲弄永續住宅，認為這是 粗鄙的手法，換言之，「建築純粹主義者」抱持著 高尚審美觀。
A1208,T1208,由「凸出來的字是『陽文』」可知刻出文字的筆劃 沾墨顯色，因此可刪去(Ｂ)(Ｄ)，再由「隸書」條 件刪去(Ｃ)，(Ｃ)為楷書，正解為(Ａ)。
A1209,T1209,(Ａ)「版築」與建築相關，與家具無關。
A1210,T1210,"「正莫可如何，忽然疾澍澎湃之聲」為文意轉折處 ，在此之前，作者「不可得吃」，在此之後，作者 「飯便得吃」，再由句中「澎湃」及後句「簷溜浩 於瀑布」可推知降下大雨，故選(Ｄ)。語譯：夏日 七月時分，紅通通的太陽掛在天上，也沒有風，也 沒有雲。前後庭院亮得像個大火爐，沒有任何一隻 鳥敢飛來這。我流汗流了滿身，直的橫的就像水渠 一樣。飯擺在前面，卻吃不下。叫人拿來竹蓆想躺 在地上，地板水氣重如膏狀，蒼蠅又飛來靠近我的脖子跟鼻子，趕都趕不走。正不知道如何是好，忽然驟雨盛大落下的聲音傳來，就好像幾百萬面金鼓同時敲響，屋簷間流下的水滴比瀑布的水還大。身上的汗水立刻收乾，地面上的燥熱也一掃而空，蒼蠅全部離開了，終於可以吃飯了，這不是件很快樂的事嗎！
"
A1211,T1211,(Ａ)「『索』碎」宜改為「瑣」(Ｂ)「『默』生」 宜改為「陌」(Ｄ)「里程『盃』」宜改為「碑」。
A1212,T1212,(Ａ)由「知賢而讓，可以為訓矣」可知為典範之意 。語譯：少室周是趙簡子的衛兵，聽說牛談力氣很 大，向主人請命和牛談競賽，沒有贏得勝利，便禮 讓自己的職位給牛談。趙簡子同意了，並且將少室 周升遷為宰，趙簡子說：「少室周知道讓位給賢能 的人，可以做為大家的典範。」
A1213,T1213,(Ｂ)由「今身不至勞苦而輦以上者，有術以致人之 故也」可知能達到目的，是因有「術」。語譯：茲 鄭拉著人力車想要爬上高橋卻力有未逮，茲鄭靠著 車子的橫桿唱歌，前面的人停了下來，後面的人則 加快腳步，於是車子便上了橋。如果茲鄭沒有方法 來招攬人，就算用盡力氣拚了命，車子還是上不去 。現在可以不費那麼大力氣而讓車子上橋，是因為 有方法可以招攬人啊！
A1214,T1214,(Ｃ)「幡然悔悟」表澈底的悔改、醒悟，文意與「 痛改前非」可銜接。(Ａ)「若即若離」表像要接近 ，又像要離開。形容態度不明確，與句意無關(Ｂ) 「急公好義」表熱心公益，喜愛助人，與句意無關( Ｄ)「庸庸碌碌」表平凡無奇，沒有作為，與句意無 關。
