id,question_id,content
A1001,T1001,(B)連接詞「除非」應改為「即使」。 (C)連接詞「就能」應改為「才能」。 (D)連接詞「與其」應改為「無論」。
A1002,T1002,認清「人生是短暫的」，即了解生命的限制；認清「死亡是自然的」，即坦然面對死亡。認清這兩點就能盡情地活著。
A1003,T1003,(C)沙漠中的綠色仙人掌因與背景色彩反差大且沒有重複的圖案，所以相機最容易對焦。
A1004,T1004,(B)ㄉㄧˇ／ㄉㄧˇ。
A1005,T1005,題幹「沒有你的那30年有點孤獨」可見高橋汽車比1916年成立的山田汽車早成立30年。1916–30＝1886。
A1006,T1006,「做為盆栽，他已覺頗為滿意」、「較諸粗俗，他寧取盆中長綠」可見盆栽對生活的態度是「安守現實，自得其樂」。
A1007,T1007,喬哀思「其創作大多根植於早年在愛爾蘭都柏林的生活」可見他的小說創作大多取材自早年在愛爾蘭都柏林的生活經驗，因此「有一天，都柏林這座城市毀了」讀者可以憑藉喬哀思的小說內容重建都柏林的文史風物。
A1008,T1008,引文中「見者曰：『麟者，麇身牛尾，鹿蹄馬背。』問者豁然而解。」可知見者善用四種動物的體態特徵來描述麒麟的外貌。
A1009,T1009,由末聯「獨夜憶秦關，聽鐘未眠客」可見作者因心有所思，所以「夜半鐘聲到客船」輾轉難眠的孤客最先聞。
A1010,T1010,由「獨創不代表完全嶄新」、「藝術的起點都來自於模仿與學習」可知獨創並不意味與傳統全然無關。
A1011,T1011,(A)「貴校」應改為「敝校」。 (C)「家弟」應改為「舍弟」。 (D)「舍姐」應改為「家姐」。
A1012,T1012,被人類視為「有用」的直挺高壯的樹型，陸續被砍伐殆盡，而被人類視為「無用」的奇形怪狀的樹型，卻幸運地逃過一劫，終能長成令旅客敬畏的「神木」。表示看似無用的東西，仍然有用。
A1013,T1013,(A)選項為合體字，「好」、「學」、「孔」、「孟」，這四字字體共用「子」形。其合體字的方式和題幹相同。
A1014,T1014,依照題幹敘述，語音辨識錯誤的主因有三：1.同音異字。2.中文與外語混用。3.次文化用語。 (A)「勢利眼」→「視力眼」，屬於「同音異字」所造成的語音誤識。 (B)「床上」→「船上」，屬於「發音不正確」所造成的語音誤識。 (C)「班導」→「扳倒」，屬於「同音異字」所造成的語音誤識。 (D)「Facebook」→「非死不可」，屬於「中文與外語混用」所造成的語音誤識。
A1015,T1015,(C)「風馬牛不相及」： 比喻事物之間毫無關聯。
A1016,T1016,105 學年的國小新住民子女人數和 102 學年相比人數是下降的，並非漸趨上升。
A1017,T1017,從引文中的「舊不進花」與「所進不過姚黃魏紫三數朵」可知「姚黃魏紫」指的是本文所敘述的主角「牡丹花」。
A1018,T1018,從引文「使光線能貫穿深處，所呈現的色澤就如墨黑般的深藍」可知黑水溝的水較清澈，透光性也較佳。
A1019,T1019,從引文中「因後者帶來的快樂往往是立即的」與「難怪我們會不斷看漫畫、滑手機」可知事物若能立即給予回饋報酬，人們就會傾向於選擇這事物，符合「人類等待報酬的時間越短，動力越強」。
A1020,T1020,從引文中「旅行沒有公式，更沒有所謂必看、必玩或必吃」與「我們會感受更多的驚喜」可知沒有目的的漫遊會帶來意外的收穫，故答案選(D)。
A1021,T1021,(B)「曾幾何時」指「才多少時間」，藉以表達感慨。
A1022,T1022,從題幹中「有些人才，只是放錯了位置，就成了庸才」可知人才往往是因為適得其所，才充分顯現其才能。換言之，每個人皆有其才能，若能充分被重用，即是人才。
A1023,T1023,(A)妄／妄。「無妄之災」比喻意外的災禍。
A1024,T1024,從引文空格處之後的「便把活潑的讀書心性束縛了」，以及「『甚解』卻變成撿了芝麻丟西瓜，因小失大」可知此段落所表達的是著眼於小處的「逐字求解」之情況。
A1025,T1025,由「勞動階級的飲茶方式，則是以茶包沖泡於馬克杯中形成濃茶後再加入糖……既濃又甜的阿薩姆知，故答案選(D)。
A1026,T1026,由「英國人模仿中國人使用瓷具泡茶，……先加入牛奶來降溫」可知，故答案選(C)。
A1027,T1027,「自己不是被除法剩下的那孤絕丁零的『餘數』」：句中的「餘數」是指無法被歸屬於某一群體的人們，故答案選(C)。
A1028,T1028,由文末「那不會離開自我的『一』，能與自身緊緊相繫的，原來正是『寫作』」，可知作者認為透過寫作可以用來肯定自我。
A1029,T1029,由「『饑荒』這個詞對於形塑輿論有非常大的影響力，……才會使用『饑荒』一詞」可知，故答案選(B)。
A1030,T1030,"文中提及饑荒（famine）的定義為「某個地區至少20%的家戶面臨食物極度短缺且無力再撐下去，急性營養不良的人口比例超過30%，以及死亡率達到每天每一萬人中有兩人以上因營養不良而死亡」，因此題幹所描述的某一地區，其達到饑荒的標準為「至少4000戶以上（20,000戶ｘ20%）面臨糧食極度短缺且無力支撐、該區急性營養不良的人口比例超過30%、每天每十萬人中有20人以上因營養不良而死亡」，故答案選(A)。"
A1031,T1031,「風將帶著巨量的雨水□□過小城的上空」一句在描寫颱風帶來的強大風雨，可推測其缺空處的動詞宜填入「狂奔」。「讓山石和泥濘□入公路」一句在描寫颱風過境引發土石流橫行，可推測其缺空處的動詞可填入「傾、鋪」。「火光……有時突然□出一朵花來」在描寫燭光受到瞬間強風影響而忽明忽暗，可推測其缺空處的動詞可填入「爆、綻、開」。綜合上述判斷可知，此題答案選(A)。
A1032,T1032,由第二段「我什麼都看不見，只聽到風雨的聲音一陣比一陣大。那時我可以想像……」可知答案為(C)。
A1033,T1033,文中細膩地描繪颱風將至之前，以及颱風過境到離開的情景，故答案選(B)。
