id,year,type,subject,title,description,answer
T1001,110,單題,語法,下列文句中的連詞，何者使用最恰當？,X,A
T1002,110,單題,現代詩文閱讀單題,這句話的涵義，與下列何者最接近？,「人生是短暫的，死亡是自然的，認清了這點，活著的時候才可以真正的投入。」,D
T1003,110,單題,現代詩文閱讀單題,根據以上說明，這臺相機在相同的設定下，下列哪一個景物最容易自動對焦？,這是某相機使用說明書的一部分：對於以下主體，可能無法成功自動對焦：1.與背景色彩相近的主體 2.自動對焦點同時覆蓋遠近主體 3.重複的圖案,C
T1004,110,單題,字音,下列選項「」中的字，何組讀音相同？,X,B
T1005,110,單題,現代詩文閱讀單題,根據這段文字，高橋汽車最可能成立於西元哪一年？,「山田汽車成立於西元1916年。高橋汽車在山田汽車成立100週年時發表一段賀詞：『感謝100年來的競爭，沒有你的那30年有點孤獨。』」,C
T1006,110,單題,現代詩文閱讀單題,這首詩中「盆栽」對生活的態度，與下列何者最接近？,做為盆栽，他已覺頗為滿意在方圓有限的盆裏，他擁有自己的領域，擁有陽光、水以及空氣。且較諸同儕幸運為無懼於戶外的風雨他竊喜站在被保護的窗緣，他謳歌廣邈無邊的天地，讚頌風暴雷電之壯麗。而對於被摧折遍地的花草樹木則嗤之以鼻較諸粗俗，他寧取盆中長綠,A
T1007,110,單題,現代詩文閱讀單題,透過這句話可看出小說具有什麼作用？,愛爾蘭文學家喬哀思流亡海外多年，其創作大多根植於早年在愛爾蘭 都柏林的生活。他曾說：「有一天，都柏林這座城市毀了，人們也可以憑藉我的小說，一磚一瓦的將之重建。」,A
T1008,110,單題,古典詩文閱讀單題,根據這則故事，下列敘述何者最恰當？,「昔人未見麟，問嘗見者：『麟何類乎？』見者曰：『麟如麟也。』問者曰：『若吾嘗見麟，則不問子矣。而云麟如麟，寧可解哉？』見者曰：『麟者，麇1 身牛尾，鹿蹄馬背。』問者豁然而解。」,D
T1009,110,單題,古典詩文閱讀單題,關於這首詩的分析，下列敘述何者最恰當？,「落帆逗淮鎮，停舫臨孤驛。浩浩風起波，冥冥日沉夕。人歸山郭暗，雁下蘆洲白。獨夜憶秦關，聽鐘未眠客。」,D
T1010,110,單題,現代詩文閱讀單題,這段話的觀點與下列何者最接近？,「獨創不代表完全嶄新，更非與傳統和過去截然無關。相反地，所有藝術的起點都來自於模仿與學習。什麼才是獨創？我們一生下來，世界就開始影響我們，而這種影響一直持續，直到我們過完此生。除了精力、氣力和意志以外，還有什麼是屬於我們自己的呢？」,B
T1011,110,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,下列文句「」中的稱謂，何者使用最恰當？,X,B
T1012,110,單題,現代詩文閱讀單題,這段文字所要表達的意旨，與下列何者最接近？,「樹型直挺高壯的，無一不被畫上記號，陸續走向腰斬的命運。唯獨畸形虛弱的劣木，有的彎曲不直，有的枝枒過多，有的菌蟲蛀洞，有的矮小窄細，幸運地逃過一劫，殘喘至今，成了旅客心中敬畏的神木。」,B
T1013,110,單題,國學常識（含文字結構與演變),下列圖象何者也是用類似的方式合成？,小楓在古玩店看到一枚仿古錢幣，仔細一看，發現這是將「唯」、「吾」、「知」、「足」四字字體共用「口」形，所合成的一個圖象。,A
T1014,110,單題,現代詩文閱讀單題,根據這段文字，下列文句語音辨識錯誤的原因，何者未被提及？,「許多科技大廠致力發展AI產業，但在支援中文化系統卻遇到困難。原因是中文的同音異字令語音辨識難度增加，而中文常與外語混用，以及次文化用語等都成為系統干擾。」,B
T1015,110,單題,成語、俗語、 諺語、歇後 語、慣用語,下列文句「」中的詞語，何者使用最恰當？,X,C
T1016,110,單題,現代詩文閱讀單題,根據這張圖表，下列敘述何者錯誤？,,B
T1017,110,單題,古典詩文閱讀單題,根據這段文字，下列關於牡丹的敘述何者最恰當？,「洛陽之俗，大抵好牡丹，春時城中無分貴賤皆插花，雖負擔者亦然。花開時，士庶競為遊遨，至花落乃罷。洛陽至東京六驛，舊不進花，自今歲遣衙校一員，乘驛馬，一日一夕至京師。所進不過姚黃魏紫三數朵。以菜葉實竹籠子，藉1  覆之使馬上不動搖，以蠟封蒂，乃數日不落。」,A
T1018,110,單題,現代詩文閱讀單題,根據這段文字，下列敘述何者最恰當？,「臺灣海峽黑水溝的形成是受地形影響，使水流加速，最快可達每秒四公尺。當湍急的水流帶走水中的沉積與雜屑，海水少了許多反射陽光的雜質，使光線能貫穿深處，所呈現的色澤就如墨黑般的深藍。」,D
T1019,110,單題,現代詩文閱讀單題,根據文意脈絡，畫線處填入下列何者最恰當？,「              　　     。所以，我們寧願放掉功課而選擇看漫畫、滑手機，因後者帶來的快樂往往是立即的。此外，開心時大腦會分泌多巴胺，讓人容易重複相同的行為，難怪我們會不斷看漫畫、滑手機，直到考試時間逼近，才開始熬夜抱佛腳。」,C
T1020,110,單題,現代詩文閱讀單題,這段文字的涵義，與下列何者最接近？,「旅行沒有公式，更沒有所謂必看、必玩或必吃。這個世界很大，擺脫行程的綑綁，我們會感受更多的驚喜。」,D
T1021,110,單題,成語、俗語、 諺語、歇後 語、慣用語,下列文句，何者詞語使用最恰當？,X,B
T1022,110,單題,現代詩文閱讀單題,這句話的涵義，與下列何者最接近？,「有些人才，只是放錯了位置，就成了庸才。」,D
T1023,110,單題,字形、改錯,下列詞語「」中的注音寫成國字後，何者兩兩相同？,X,A
T1024,110,單題,成語、俗語、 諺語、歇後 語、慣用語,根據文意脈絡，空格處填入下列何者最恰當？,「讀書若是□□□□，便把活潑的讀書心性束縛了。窮研細究，把通篇文章分析得支離破碎，結果往往化甘旨為嚼蠟，脫離了意境，『甚解』卻變成撿了芝麻丟西瓜，因小失大。」,D
T1025,110,題組,現代詩文閱讀題組,根據本文，下列何者最可能是以前英國勞動階級的喝茶方式？,喝茶加檸檬是美式作法，英國人則不然。早期開始流行茶葉時，英國人模仿中國人使用瓷具泡茶，但若直接倒入熱茶可能導致瓷杯過熱破裂，故先加入牛奶來降溫。當時的上流社會也因此會比較彼此的瓷器等級，若茶具能接受牛奶後加，表示此家族擁有的茶具等級更高。中上階級的喝茶習慣，是先用茶壺浸泡茶葉，形成淡茶後再倒入單耳瓷杯裡。通常伯爵茶、烏龍茶是上流社會裡常見的茶品，茶色呈淡褐色，加入牛奶飲用，因為多會搭配甜品，通常不會加糖。而勞動階級的飲茶方式，則是以茶包沖泡於馬克杯中形成濃茶後再加入糖，牛奶則可融合濃茶的苦澀味，既濃又甜的阿薩姆故而成為受歡迎的茶，是需要消耗大量熱量的勞工階級喜愛的口味。在階級制度逐漸模糊的今天，茶葉如何沖泡或牛奶先加後加，已不大有明顯界線。方便快速的茶包市面上隨處可見，再講究一些的，也能在茶葉專賣店找到喜歡的茶葉。至於是否要加牛奶，英國人會告訴你：「什麼都不加的紅茶，只比白開水好喝一點而已。」,D
T1026,110,題組,現代詩文閱讀題組,根據本文，可以推知下列何者？,喝茶加檸檬是美式作法，英國人則不然。早期開始流行茶葉時，英國人模仿中國人使用瓷具泡茶，但若直接倒入熱茶可能導致瓷杯過熱破裂，故先加入牛奶來降溫。當時的上流社會也因此會比較彼此的瓷器等級，若茶具能接受牛奶後加，表示此家族擁有的茶具等級更高。中上階級的喝茶習慣，是先用茶壺浸泡茶葉，形成淡茶後再倒入單耳瓷杯裡。通常伯爵茶、烏龍茶是上流社會裡常見的茶品，茶色呈淡褐色，加入牛奶飲用，因為多會搭配甜品，通常不會加糖。而勞動階級的飲茶方式，則是以茶包沖泡於馬克杯中形成濃茶後再加入糖，牛奶則可融合濃茶的苦澀味，既濃又甜的阿薩姆故而成為受歡迎的茶，是需要消耗大量熱量的勞工階級喜愛的口味。在階級制度逐漸模糊的今天，茶葉如何沖泡或牛奶先加後加，已不大有明顯界線。方便快速的茶包市面上隨處可見，再講究一些的，也能在茶葉專賣店找到喜歡的茶葉。至於是否要加牛奶，英國人會告訴你：「什麼都不加的紅茶，只比白開水好喝一點而已。」,C
T1027,110,題組,現代詩文閱讀題組,根據本文，下列「」中詞語所指的內容何者最不恰當？,「閱讀」是最適合一個人進行的行為，毫無落單的疑慮，它要求靜默，摒除和人交談的需求。我在圖書館，拿起書，坐定在某一處，沉入書中世界。在此，我不再是被他人拋下的，是我選擇背對那些喧譁。一開始僅僅是裝模作樣，但我漸漸發現，手中捧讀的，往往是其他質數的孤獨。這一冊冊的創作，使我瞭解到，在廣漠人世裡，不只我是落單者，正如37後面有41，101前面有97。身為質數，在數列裡，我們無法緊挨著取暖，總是隔著許多無法理解我們的他人，但那孤獨正是因為身具的奇特性質而來。那麼，我，與其他親愛的質數，難道不正因此是特別的？於是才終於相信，自己不是被除法剩下的那孤絕丁零的餘數，而是個不需他人合成的質數。後來，我體認到這些同為質數者，是以寫作面對自身的孤絕、痛苦，且彷彿因此得到救贖。同時，也正因其出眾的書寫，寫定了自身價值。我驚喜地發現，那不會離開自我的「一」，能與自身緊緊相繫的，原來正是「寫作」。,C
T1028,110,題組,現代詩文閱讀題組,根據本文，下列何者最符合作者的觀點?,「閱讀」是最適合一個人進行的行為，毫無落單的疑慮，它要求靜默，摒除和人交談的需求。我在圖書館，拿起書，坐定在某一處，沉入書中世界。在此，我不再是被他人拋下的，是我選擇背對那些喧譁。一開始僅僅是裝模作樣，但我漸漸發現，手中捧讀的，往往是其他質數的孤獨。這一冊冊的創作，使我瞭解到，在廣漠人世裡，不只我是落單者，正如37後面有41，101前面有97。身為質數，在數列裡，我們無法緊挨著取暖，總是隔著許多無法理解我們的他人，但那孤獨正是因為身具的奇特性質而來。那麼，我，與其他親愛的質數，難道不正因此是特別的？於是才終於相信，自己不是被除法剩下的那孤絕丁零的餘數，而是個不需他人合成的質數。後來，我體認到這些同為質數者，是以寫作面對自身的孤絕、痛苦，且彷彿因此得到救贖。同時，也正因其出眾的書寫，寫定了自身價值。我驚喜地發現，那不會離開自我的「一」，能與自身緊緊相繫的，原來正是「寫作」。,B
T1029,110,題組,現代詩文閱讀題組,根據本文，下列關於「饑荒」的敘述，何者最恰當？,國際上對於糧食安全的認定標準，目前多依據「糧食安全階段綜合分類」（IPC），該指標將糧食安全分為五個等級，其中對於「饑荒（famine）」的定義是：「某個地區至少20%的家戶面臨食物極度短缺且無力再撐下去，急性營養不良的人口比例超過30%，以及死亡率達到每天每一萬人中有兩人以上因營養不良而死亡」，如此才能宣布該地區發生饑荒。「饑荒」這個詞對於形塑輿論有非常大的影響力，必須謹慎使用，唯有達到一定標準、需要動員國際力量救援時，才會使用「饑荒」一詞。如果國際救援團體經常使用這個詞，就可能被視為「放羊的孩子」，失去這個詞彙原有的功能。然而，這也導致一些不合理的情況。2014年，一群糧食安全專家前往南蘇丹，評估當地情形是否符合饑荒的標準。這支團隊仔細審查南蘇丹人民的營養不良率，還有莊稼遭到破壞與牲畜數量減少的情形，終於做出結論：當地情況雖然符合IPC的第四階段（緊急），卻還沒達到第五階段（饑荒）的標準。因為遲遲無法動員救援力量、籌募善款，南蘇丹情勢便持續惡化，直到2017年才得以對外宣布「饑荒」，隨後獲得國際的關注。短短三週內，光是在英國就募得五千萬英鎊的賑災捐款。這就是詞彙的力量。雖然沒有法律效力，卻具有左右無數人生死存亡的力量。,B
T1030,110,題組,現代詩文閱讀題組,某一總家戶數2萬、總人口數10萬的地區發生糧食短缺，根據「糧食安全階段綜合分類」的標準，該區在下列何種狀態時達到「饑荒」的標準？,國際上對於糧食安全的認定標準，目前多依據「糧食安全階段綜合分類」（IPC），該指標將糧食安全分為五個等級，其中對於「饑荒（famine）」的定義是：「某個地區至少20%的家戶面臨食物極度短缺且無力再撐下去，急性營養不良的人口比例超過30%，以及死亡率達到每天每一萬人中有兩人以上因營養不良而死亡」，如此才能宣布該地區發生饑荒。「饑荒」這個詞對於形塑輿論有非常大的影響力，必須謹慎使用，唯有達到一定標準、需要動員國際力量救援時，才會使用「饑荒」一詞。如果國際救援團體經常使用這個詞，就可能被視為「放羊的孩子」，失去這個詞彙原有的功能。然而，這也導致一些不合理的情況。2014年，一群糧食安全專家前往南蘇丹，評估當地情形是否符合饑荒的標準。這支團隊仔細審查南蘇丹人民的營養不良率，還有莊稼遭到破壞與牲畜數量減少的情形，終於做出結論：當地情況雖然符合IPC的第四階段（緊急），卻還沒達到第五階段（饑荒）的標準。因為遲遲無法動員救援力量、籌募善款，南蘇丹情勢便持續惡化，直到2017年才得以對外宣布「饑荒」，隨後獲得國際的關注。短短三週內，光是在英國就募得五千萬英鎊的賑災捐款。這就是詞彙的力量。雖然沒有法律效力，卻具有左右無數人生死存亡的力量。,A
T1031,110,題組,現代詩文閱讀題組,根據本文最後一段的文意脈絡，空格處依序應填入下列何者最恰當？,颱風來了。颱風來自遙遠的海面，總是選擇花蓮為登陸地點。在夏天漫長而炎熱的一長串又一長串日子裡，有時我們會感覺天地間突然好像有一點反常的運作，日頭黯淡，到處吹著不緩不急的風。起先就是這樣的，那風也不是夏日海邊習習的涼風，帶著一層鬱燠的氣息，甚至是溫熱的，但又沒有一點溼意。樹葉飄飄自相拍打，螞蟻在牆角匆忙地奔走，隔壁院子裡的公雞奇怪地和帶著小雛的母雞一起擠在雨廊下，很不安地東張西望，電線桿上的麻雀都不知道飛到哪裡去了。若是抬頭看後面的大山，你會發覺那山比平時更清朗更明亮，樹木歷歷可數，蒼翠裡彷彿鍍著一層銀光。起先是陣陣急雨被強風颳來，擊打鐵皮屋頂和木板牆。坐在榻榻米上，我什麼都看不見，只聽到風雨的聲音一陣比一陣大。那時我可以想像，來了來了，從遙遠的海面正有一團黑黑的氣體向花蓮這個方向滾來，以一定的速度，挾萬頃雨水，撕裂廣大的天幕，正向這個方面滾來，空中的雲煙激越若沸水，海水翻騰搖擺，憤怒地向陸地投射。我坐在昏黃的電燈下專心聽颱風猛烈地拍著，搖著，呼吼著。我傾耳再聽，可以感覺到海岸上狂濤攻擊防波堤的號角和鼙鼓，一陣急似一陣，而天就這樣黑下來了。是的，颱風從海上來，迅速撲向這低伏在山下的小城。在風球一一升起之後，我們知道風將帶著巨量的雨水□□過小城的上空，把一些大樹連根拔起，把籬笆一一掀倒，把電線桿推翻，甚至把誰家將就的屋頂吹跑，把橋梁和鐵路移動一個位置，讓山石和泥濘□入公路，堵住來往的交通。在我幼小的心靈裡，颱風帶來一個狂暴的奇異的夜，電燈不亮了，小桌上點一根蠟燭，火光在轟然的黑暗裡搖晃，有時突然□出一朵花來。我瞪著那燭光看，聽風雨呼嘯通過，似乎不會有停止的時候，然後眼睛就累了。醒來時發現自己還是安全地躺在蚊帳裡，風雨早已停了，明亮的光線透過窗上那木板的隙縫照在我臉上，很安靜，只有帳外一隻蚊子飛行的嚶嗡，和平常一樣在清晨的微涼中飄忽來去。颱風已經遠遠走了。,A
T1032,110,題組,現代詩文閱讀題組,根據本文，下列敘述何者最恰當？,颱風來了。颱風來自遙遠的海面，總是選擇花蓮為登陸地點。在夏天漫長而炎熱的一長串又一長串日子裡，有時我們會感覺天地間突然好像有一點反常的運作，日頭黯淡，到處吹著不緩不急的風。起先就是這樣的，那風也不是夏日海邊習習的涼風，帶著一層鬱燠的氣息，甚至是溫熱的，但又沒有一點溼意。樹葉飄飄自相拍打，螞蟻在牆角匆忙地奔走，隔壁院子裡的公雞奇怪地和帶著小雛的母雞一起擠在雨廊下，很不安地東張西望，電線桿上的麻雀都不知道飛到哪裡去了。若是抬頭看後面的大山，你會發覺那山比平時更清朗更明亮，樹木歷歷可數，蒼翠裡彷彿鍍著一層銀光。起先是陣陣急雨被強風颳來，擊打鐵皮屋頂和木板牆。坐在榻榻米上，我什麼都看不見，只聽到風雨的聲音一陣比一陣大。那時我可以想像，來了來了，從遙遠的海面正有一團黑黑的氣體向花蓮這個方向滾來，以一定的速度，挾萬頃雨水，撕裂廣大的天幕，正向這個方面滾來，空中的雲煙激越若沸水，海水翻騰搖擺，憤怒地向陸地投射。我坐在昏黃的電燈下專心聽颱風猛烈地拍著，搖著，呼吼著。我傾耳再聽，可以感覺到海岸上狂濤攻擊防波堤的號角和鼙鼓，一陣急似一陣，而天就這樣黑下來了。是的，颱風從海上來，迅速撲向這低伏在山下的小城。在風球一一升起之後，我們知道風將帶著巨量的雨水□□過小城的上空，把一些大樹連根拔起，把籬笆一一掀倒，把電線桿推翻，甚至把誰家將就的屋頂吹跑，把橋梁和鐵路移動一個位置，讓山石和泥濘□入公路，堵住來往的交通。在我幼小的心靈裡，颱風帶來一個狂暴的奇異的夜，電燈不亮了，小桌上點一根蠟燭，火光在轟然的黑暗裡搖晃，有時突然□出一朵花來。我瞪著那燭光看，聽風雨呼嘯通過，似乎不會有停止的時候，然後眼睛就累了。醒來時發現自己還是安全地躺在蚊帳裡，風雨早已停了，明亮的光線透過窗上那木板的隙縫照在我臉上，很安靜，只有帳外一隻蚊子飛行的嚶嗡，和平常一樣在清晨的微涼中飄忽來去。颱風已經遠遠走了。,C
