id,question_id,選項A,選項B,選項C,選項D
S1201,T1201,臺灣、學齡階段,國民小學、大學,正向關聯、閱讀時間,閱讀興趣、閱讀素養
S1202,T1202,"他不但才華出眾,而且和藹可親","幸虧你事先做好準備,否則災情慘重","原來他有難言之隱,難怪總是愁眉不展","與其讓你在事後落淚,難道讓你犯錯懊悔"
S1203,T1203,甲,乙,丙,丁
S1204,T1204,你到底看見了什麼?豈非這樣驚訝,"並非我與他相識,這件事絕不可能善罷甘休","你所說的無非是老生常談,他哪裡聽得進去","若非我故意和你唱反調,實在是你的做法不合理"
S1205,T1205,「迄」今未成/「屹」立不搖,金鑲玉「嵌」/命運「坎」坷,寂「寥」冷清/「謬」誤百出,千叮萬「囑」/引人「矚」目
S1206,T1206,象形/會意,指事/形聲,象形/形聲,指事/會意
S1207,T1207,符合審美要求,講求永續發展,呈現建材原貌,滿足居住需求
S1208,T1208,,,,
S1209,T1209,美滿家具店 版築有功,幸福大飯店 貴客盈門,健康醫院 仁心仁術,快樂國小 桃李滿門
S1210,T1210,發現美麗的景致,遠離擾人的蟲蠅,聽見悅耳的鼓聲,驟降消暑的大雨
S1211,T1211,"大考將近,更要懂得善用索碎的時間",來到默生的環境不免會令人感到緊張,"我忘了帶錢,拜託你先幫我代墊報名費",這項工程是讓我國邁向現代化的里程盃
S1212,T1212,典範,順從,教誨,解釋
S1213,T1213,團結就是力量 ,做事要講究方法,堅持到底才能成功,沒有付出就沒有收穫
S1214,T1214,"寵物一生病就丟棄的人,真是「若即若離」","他缺乏耐性,總是「急公好義」,莽莽撞撞","經過這次教訓後,他「幡然悔悟」,痛改前非","期末將近,大家都「庸庸碌碌」,忙得不可開交"
S1215,T1215,甲詩描寫清晨春寒料峭的景象,乙詩描寫春末溪邊所見的景致,"兩詩首二句皆對仗,表達情思","兩詩皆屬七絕,只有偶句用韻"
S1216,T1216,"小人若洗心革面,一反前非即可成為君子","為應對小人反覆,不得不改變既有的策略","順應民心的向背,選擇最適合現況的做法","隨著所知的增長,會修正自己原本的觀點"
S1217,T1217,甲:82%的全球女性未曾遭受來自伴侶的身體或性暴力,乙 :全球女性在職場上擔任管理職位的比例較男性少,"丙 :全球女性的參政比例有所提升,但仍為少數",丁:2018年至少有30%的20至24歲南亞女性結過婚
S1218,T1218,社會形態改變,夜間活動增加,耕作時間延長,鐵器廣泛使用
S1219,T1219,舉行重大慶典需要小米酒,(透過傳遞木杵來交換訊息,依祭儀種類飲用不同的米酒,以整齊的杵音宣告祭儀開始
S1220,T1220,「看取眉頭鬢上」表達自己年華老去,「酒賤常愁客少」意謂難以維持生計,「月明多被雲妨」比喻美好的事物不可能長久,「中秋誰與共孤光」流露想與親友團聚的心願
S1221,T1221,甲國的茶葉生產技術在1886,1900 年歐洲茶葉市場總交易量較1886 年少,1900 年甲國茶葉出口歐洲總額衰退至1886 年的 50%,"1866 至1900 年間,甲國從茶葉出口國變成茶葉進口國"
S1222,T1222,作者對自己破壞自然環境感到慚愧,"黃山片片石峰色彩繽紛,有如織錦","作者北上舊地重遊,乃因懷念黃山冬季美景","此遊窺得黃山奇景,作者心中因而喜愧交集"
S1223,T1223,穆脩記事只著眼於犬,張景記事只著眼於馬,二人用語崇尚句式對偶,二人用語皆為時人稱頌
S1224,T1224,"月堤耗時過久,使杜偉長浪費公帑","水工們為保生計,阻礙了移堤工程",老水工深知修築月堤無益於防堵水患,"杜偉長堅持移堤,導致年年發生水患"
S1225,T1225,第一節顯示車行至八堵之後天氣不佳,第二節說明作者此行目的地是暖暖,第三節可看出那那社名稱的由來,第四節點出作者珍惜當下的心境
S1226,T1226,以天氣的變化象徵越來越沉重的心情,以重複出現的字詞形成詩歌的韻律,運用諧音及詞義的雙關增添詩意,預想尚未發生的情景收束全詩
S1227,T1227,入水時水花的大小會影響分數高低,史上第一場跳水比賽是在室內舉行,奧運比賽的雙人賽必須配置7名評審,使用跳板起跳就可以獲得比較高的分數
S1228,T1228,"毋須採計每一跳的得分,可擇優計算最後成績","選手完成一次跳水,每名評審最高只能給","若完成的動作比預定的難度更高,分數也會越高","選手每一跳須完成的難度係數,由現場抽籤決定"
