id,question_id,選項A,選項B,選項C,選項D
S1001,T1001,即使生活變得富裕，也不應該浪費 ,除非是很小的錯誤，也可能釀成大害,只有從根本解決，就能為人民改善生活,與其老師怎樣費心勸說，他還是我行我素
S1002,T1002,經歷死亡幽谷，才能發現活著的可貴 ,能將死亡置之度外的人往往雖死猶生 ,生命的價值在於不斷挑戰自我，安於現狀等於死亡,了解生命的限制，坦然面對死亡，就能盡情地活著
S1003,T1003,,,,
S1004,T1004,「恪」守本分／獨創一「格」,「抵」死不從／蒞臨府「邸」,字「斟」句酌／「勘」正訛誤,鍾靈「毓」秀／才「疏」學淺
S1005,T1005,1816,1846,1886,1946
S1006,T1006,安守現實，自得其樂,享受挑戰，追求卓越,突破藩籬，渴望自由,寧為玉碎，不為瓦全
S1007,T1007,記錄地方文史風物,勾勒未來生活圖象,重振戰後失落的人心,展現社區營造的力量 
S1008,T1008,問者蓄意為難，明知故問 ,見者實未曾見麟，信口開河,問者終不得其解，寧可自尋答案,見者最後以具體事物為喻，輔助說明 
S1009,T1009,首兩句寫出與友餞別的地點與時間 ,以「風起」、「日沉」自喻懷才不遇,以「雁下蘆洲白」表示太陽將升起,末兩句點出客因心有所思而不成眠 
S1010,T1010,精力、氣力和意志有助於獨創,獨創並不意味與傳統全然無關,每件藝術品都必須以獨創為起點 ,擺脫世界對我們的影響才能獨創 
S1011,T1011,謝謝您的蒞臨，「貴校」蓬蓽生輝,「小女」的于歸之宴，請您務必賞光 ,「家弟」近期要搬家，忙得不可開交,為了準備求職面試，「舍姐」緊張不已
S1012,T1012,前事不忘，後事之師,無用之用，是為大用,一沙一世界，一花一天堂,出淤泥而不染，濯清漣而不妖
S1013,T1013,,,,
S1014,T1014,他是個勢利眼 → 他是個視力眼,他在床上睡著了 → 他在船上睡著了 ,班導要求按時交作業 → 扳倒要求按時交作業,Facebook 的用戶眾多 → 非死不可的用戶眾多
S1015,T1015,既然每個人選都很優秀，不如「兩害相權取其輕」,窮困之際竟幸運中了頭獎，真是有如「雨後春筍」,他把這些事混為一談，其實根本是「風馬牛不相及」,比賽中就算占上風也要保持謹慎，以免「轉悲為喜」
S1016,T1016,國中小學生總人數漸趨下降 ,國小新住民子女人數漸趨上升,國中新住民子女所占比例漸趨上升,國中小非新住民子女所占比例漸趨下降 
S1017,T1017,姚黃魏紫指的皆是牡丹 ,洛陽權貴才有資格買牡丹,牡丹運送前須以蠟整株封存,牡丹運送時以菜葉提供其養分
S1018,T1018,海水的雜質含量與水流速度無關,海水的流速變慢，顏色就會變深 ,黑水溝的流速至少為每秒四公尺 ,黑水溝的水較清澈，透光性較佳
S1019,T1019,距離考試越近，讀書的效果越好,時間越晚，大腦分泌的多巴胺越多,人類等待報酬的時間越短，動力越強,重複相同行為的次數越多，人們越快樂 
S1020,T1020,事先規劃才算深度旅遊,人們要有實踐壯遊的夢想 ,人生就像是一趟未知的旅程,無目的的漫遊會有意外的收穫
